"filename", "language", "JavaScript", "TypeScript", "JSON", "GraphQL", "Markdown", "JavaScript React", "TypeScript React", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\james\Documents\GitHub\francesca-jade-creates\.eslintrc.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 1, 58
"c:\Users\james\Documents\GitHub\francesca-jade-creates\.graphqlconfig.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 1, 19
"c:\Users\james\Documents\GitHub\francesca-jade-creates\.prettierrc", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\james\Documents\GitHub\francesca-jade-creates\.stylelintrc.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\james\Documents\GitHub\francesca-jade-creates\README.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplifyPublishIgnore.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\.config\project-config.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\parameters.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\schema.graphql", "GraphQL", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 13, 132
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\stacks\CustomResources.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\francescajadecreates\transform.conf.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\james\Documents\GitHub\francesca-jade-creates\amplify\backend\api\orderlambda\api-params.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
