Date : 2020-09-18 11:53:34
Directory : c:\Users\james\Documents\GitHub\francesca-jade-creates
Total : 192 files,  47137 codes, 1954 comments, 1236 blanks, all 50327 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         33 |     30,095 |        515 |         76 |     30,686 |
| TypeScript React |         52 |      7,971 |      1,185 |        404 |      9,560 |
| TypeScript       |         62 |      6,615 |         38 |        322 |      6,975 |
| SCSS             |         25 |      1,106 |         25 |        169 |      1,300 |
| YAML             |          2 |        656 |         29 |        132 |        817 |
| JavaScript       |         13 |        444 |        162 |        101 |        707 |
| GraphQL          |          2 |        200 |          0 |         19 |        219 |
| Markdown         |          1 |         28 |          0 |          8 |         36 |
| HTML             |          1 |         17 |          0 |          2 |         19 |
| JavaScript React |          1 |          5 |          0 |          3 |          8 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |        192 |     47,137 |      1,954 |      1,236 |     50,327 |
| amplify                                                                                                                                                           |         31 |      3,607 |        533 |        242 |      4,382 |
| amplify\.config                                                                                                                                                   |          1 |         17 |          0 |          0 |         17 |
| amplify\backend                                                                                                                                                   |         29 |      3,565 |        533 |        242 |      4,340 |
| amplify\backend\api                                                                                                                                               |          7 |        857 |          0 |         66 |        923 |
| amplify\backend\api\francescajadecreates                                                                                                                          |          4 |        196 |          0 |         13 |        209 |
| amplify\backend\api\francescajadecreates\stacks                                                                                                                   |          1 |         61 |          0 |          0 |         61 |
| amplify\backend\api\orderlambda                                                                                                                                   |          3 |        661 |          0 |         53 |        714 |
| amplify\backend\auth                                                                                                                                              |          2 |        710 |         29 |        131 |        870 |
| amplify\backend\auth\francescajadecreatesf155220b                                                                                                                 |          2 |        710 |         29 |        131 |        870 |
| amplify\backend\function                                                                                                                                          |         16 |      1,610 |        115 |         39 |      1,764 |
| amplify\backend\function\orderlambda                                                                                                                              |          8 |        690 |         12 |         16 |        718 |
| amplify\backend\function\orderlambda\src                                                                                                                          |          5 |        502 |         12 |         16 |        530 |
| amplify\backend\function\stripeWebhook                                                                                                                            |          8 |        920 |        103 |         23 |      1,046 |
| amplify\backend\function\stripeWebhook\src                                                                                                                        |          5 |        724 |         18 |         23 |        765 |
| amplify\backend\storage                                                                                                                                           |          3 |        298 |        389 |          6 |        693 |
| amplify\backend\storage\francescajadecreatesimages                                                                                                                |          3 |        298 |        389 |          6 |        693 |
| public                                                                                                                                                            |          1 |         17 |          0 |          2 |         19 |
| src                                                                                                                                                               |        144 |     21,150 |      1,249 |        901 |     23,300 |
| src\__mocks__                                                                                                                                                     |          5 |         86 |          0 |         10 |         96 |
| src\actions                                                                                                                                                       |          5 |        200 |          1 |         27 |        228 |
| src\actions\__tests__                                                                                                                                             |          2 |         50 |          0 |          7 |         57 |
| src\common                                                                                                                                                        |         34 |      2,485 |        301 |        197 |      2,983 |
| src\common\__tests__                                                                                                                                              |          7 |        679 |        131 |         51 |        861 |
| src\common\alerts                                                                                                                                                 |          2 |        165 |          1 |          9 |        175 |
| src\common\containers                                                                                                                                             |          7 |        947 |        144 |         47 |      1,138 |
| src\common\containers\interfaces                                                                                                                                  |          2 |         43 |          0 |          7 |         50 |
| src\common\inputs                                                                                                                                                 |          3 |        127 |          9 |         14 |        150 |
| src\common\interfaces                                                                                                                                             |          2 |         19 |          0 |          3 |         22 |
| src\common\scss                                                                                                                                                   |          9 |        425 |          3 |         58 |        486 |
| src\common\styles                                                                                                                                                 |          2 |         37 |          0 |          5 |         42 |
| src\graphql                                                                                                                                                       |          4 |      7,171 |          9 |          6 |      7,186 |
| src\hooks                                                                                                                                                         |          1 |         14 |          0 |          6 |         20 |
| src\interfaces                                                                                                                                                    |          3 |        130 |          4 |         32 |        166 |
| src\pages                                                                                                                                                         |         73 |      7,364 |        809 |        449 |      8,622 |
| src\pages\accounts                                                                                                                                                |         34 |      3,968 |        374 |        236 |      4,578 |
| src\pages\accounts\components                                                                                                                                     |         10 |      2,936 |        359 |        114 |      3,409 |
| src\pages\accounts\interfaces                                                                                                                                     |         11 |        333 |          2 |         50 |        385 |
| src\pages\accounts\scss                                                                                                                                           |          7 |        231 |         13 |         43 |        287 |
| src\pages\accounts\styles                                                                                                                                         |          5 |        301 |          0 |         15 |        316 |
| src\pages\home                                                                                                                                                    |         12 |      1,268 |          7 |         88 |      1,363 |
| src\pages\home\components                                                                                                                                         |          4 |        731 |          1 |         28 |        760 |
| src\pages\home\interfaces                                                                                                                                         |          3 |         61 |          1 |          9 |         71 |
| src\pages\home\scss                                                                                                                                               |          3 |        290 |          0 |         41 |        331 |
| src\pages\navigation                                                                                                                                              |          9 |        647 |         41 |         32 |        720 |
| src\pages\navigation\components                                                                                                                                   |          3 |        386 |         17 |         14 |        417 |
| src\pages\navigation\interfaces                                                                                                                                   |          2 |         24 |          1 |          5 |         30 |
| src\pages\navigation\styles                                                                                                                                       |          3 |        147 |          2 |          7 |        156 |
| src\pages\not-found                                                                                                                                               |          2 |         45 |          0 |          8 |         53 |
| src\pages\not-found\scss                                                                                                                                          |          1 |         31 |          0 |          5 |         36 |
| src\pages\payment                                                                                                                                                 |         14 |      1,263 |        387 |         78 |      1,728 |
| src\pages\payment\components                                                                                                                                      |          5 |        673 |        311 |         38 |      1,022 |
| src\pages\payment\interfaces                                                                                                                                      |          2 |         51 |          0 |          8 |         59 |
| src\pages\payment\scss                                                                                                                                            |          2 |         60 |          0 |          9 |         69 |
| src\pages\payment\styles                                                                                                                                          |          4 |        257 |          0 |         11 |        268 |
| src\pages\policies                                                                                                                                                |          2 |        173 |          0 |          7 |        180 |
| src\reducers                                                                                                                                                      |          5 |        376 |          6 |         22 |        404 |
| src\reducers\__tests__                                                                                                                                            |          2 |        136 |          2 |          9 |        147 |
| src\routes                                                                                                                                                        |          2 |        386 |         91 |         22 |        499 |
| src\routes\interfaces                                                                                                                                             |          1 |         78 |          0 |          7 |         85 |
| src\scss                                                                                                                                                          |          3 |         69 |          9 |         13 |         91 |
| src\scss\base                                                                                                                                                     |          2 |         47 |          3 |          7 |         57 |
| src\store                                                                                                                                                         |          1 |         37 |          1 |          9 |         47 |
| src\themes                                                                                                                                                        |          1 |        336 |          1 |         14 |        351 |
| src\utils                                                                                                                                                         |          4 |        118 |          7 |         20 |        145 |
| src\utils\__tests__                                                                                                                                               |          1 |         15 |          1 |          2 |         18 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
